formula calculations:
d = 208.500000
t1 = 1.834190, t2 = -1.112653
change table t, x and y:
t = 1.309999, x = 14.631546, y = 6.222667
t = 1.319999, x = 14.666902, y = 6.129153
t = 1.329999, x = 14.702257, y = 6.034659
t = 1.339999, x = 14.737612, y = 5.939183
t = 1.349999, x = 14.772967, y = 5.842730
t = 1.359999, x = 14.808323, y = 5.745295
t = 1.369999, x = 14.843678, y = 5.646880
t = 1.379999, x = 14.879034, y = 5.547487
t = 1.389999, x = 14.914389, y = 5.447111
t = 1.399999, x = 14.949744, y = 5.345757
t = 1.409999, x = 14.985100, y = 5.243423
t = 1.419999, x = 15.020454, y = 5.140108
t = 1.429999, x = 15.055810, y = 5.035814
t = 1.439999, x = 15.091166, y = 4.930540
t = 1.449999, x = 15.126520, y = 4.824285
t = 1.459999, x = 15.161876, y = 4.717051
t = 1.469999, x = 15.197231, y = 4.608836
t = 1.479999, x = 15.232586, y = 4.499640
t = 1.489999, x = 15.267942, y = 4.389468
t = 1.499999, x = 15.303297, y = 4.278313
t = 1.509999, x = 15.338652, y = 4.166178
t = 1.519999, x = 15.374008, y = 4.053064
t = 1.529999, x = 15.409363, y = 3.938969
t = 1.539999, x = 15.444718, y = 3.823895
t = 1.549999, x = 15.480074, y = 3.707841
t = 1.559999, x = 15.515429, y = 3.590805
t = 1.569999, x = 15.550784, y = 3.472792
t = 1.579999, x = 15.586140, y = 3.353798
t = 1.589999, x = 15.621494, y = 3.233822
t = 1.599999, x = 15.656851, y = 3.112869
t = 1.609999, x = 15.692205, y = 2.990934
t = 1.619999, x = 15.727560, y = 2.868018
t = 1.629999, x = 15.762917, y = 2.744125
t = 1.639999, x = 15.798271, y = 2.619250
t = 1.649999, x = 15.833627, y = 2.493396
t = 1.659999, x = 15.868982, y = 2.366562
t = 1.669999, x = 15.904337, y = 2.238748
t = 1.679999, x = 15.939692, y = 2.109953
t = 1.689999, x = 15.975048, y = 1.980178
t = 1.699999, x = 16.010403, y = 1.849423
t = 1.709999, x = 16.045757, y = 1.717689
t = 1.719999, x = 16.081114, y = 1.584975
t = 1.729999, x = 16.116468, y = 1.451281
t = 1.739999, x = 16.151825, y = 1.316607
t = 1.749999, x = 16.187180, y = 1.180951
t = 1.759999, x = 16.222534, y = 1.044316
t = 1.769999, x = 16.257891, y = 0.906703
t = 1.779999, x = 16.293245, y = 0.768108
t = 1.789999, x = 16.328602, y = 0.628536
t = 1.799999, x = 16.363956, y = 0.487979
t = 1.809999, x = 16.399311, y = 0.346445
t = 1.819999, x = 16.434666, y = 0.203930
t = 1.829999, x = 16.470022, y = 0.060436
t = 1.839999, x = 16.505377, y = -0.084038
selectable segment: 
tprev = 1.829999, tlast = 1.839999
bisection method:
t1: 1.834190
x1: 16.484842
y1: -0.000004
